fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,8325X,POLINYÀ DE XÚQUER,VALENCIA,1.4,-0.3719444444444444,39.18472222222222,12
2021-01-06,2867,SALAMANCA AEROPUERTO,SALAMANCA,-9,-5.498333333333333,40.95944444444445,790
2021-01-06,B346X,PORRERES,ILLES BALEARS,-1.1,3.0191666666666666,39.52166666666667,120
2021-01-06,2235U,CERVERA DE PISUERGA,PALENCIA,-7.2,-4.52,42.870555555555555,1140
2021-01-06,1221D,PAJARES-VALGRANDE,ASTURIAS,-9,-5.776388888888889,42.978611111111114,1480
2021-01-06,2775X,VILLARDECIERVOS,ZAMORA,-8.9,-6.279722222222222,41.94138888888889,850
2021-01-06,9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,2.3,0.49333333333333335,40.82027777777778,50
2021-01-06,3434X,NAVALMORAL DE LA MATA,CACERES,-5.2,-5.5825,39.94583333333333,269
2021-01-06,1041A,ZUMAIA,GIPUZKOA,1,-2.2511111111111113,43.30222222222222,28
2021-01-06,4267X,HINOJOSA DEL DUQUE,CORDOBA,-5.6,-5.1211111111111105,38.49861111111111,551
2021-01-06,9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,-4.4,-1.475277777777778,42.198611111111106,295
2021-01-06,4386B,LLERENA,BADAJOZ,-2.5,-6.016944444444444,38.23166666666667,655
2021-01-06,4452,BADAJOZ AEROPUERTO,BADAJOZ,-2.1,-6.813888888888889,38.88333333333333,185
2021-01-06,3391,SOTILLO DE LA ADRADA,AVILA,-4.2,-4.590833333333333,40.28861111111111,630
2021-01-06,5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,-1.9,-4.608888888888888,38.33305555555556,750
2021-01-06,9263X,"ARANGUREN, ILUNDAIN",NAVARRA,-3.4,-1.5325,42.77611111111111,572
2021-01-06,3111D,SOMOSIERRA,MADRID,-8.7,-3.5802777777777774,41.135555555555555,1450
2021-01-06,3013,MOLINA DE ARAGÓN,GUADALAJARA,-12,-1.8788888888888888,40.84166666666667,1062
2021-01-06,8293X,XÀTIVA,VALENCIA,-2.3,-0.5236111111111111,39.001666666666665,88
2021-01-06,0372C,PORQUERES,GIRONA,-4.3,2.763611111111111,42.10444444444445,157
2021-01-06,5704B,CAZALLA DE LA SIERRA,SEVILLA,-1.7,-5.769722222222222,37.92638888888889,550
2021-01-06,8414A,VALENCIA AEROPUERTO,VALENCIA,-2.3,-0.4747222222222222,39.485,56
2021-01-06,1735X,XINZO DE LIMIA,OURENSE,-6.9,-7.733611111111111,42.07916666666667,616
2021-01-06,5270B,JAÉN,JAEN,2.3,-3.8088888888888888,37.777499999999996,580
2021-01-06,9563X,CASTELLFORT,CASTELLON,-4.8,-0.18666666666666665,40.49861111111111,1220
2021-01-06,1700X,O CARBALLIÑO,OURENSE,-1,-8.092500000000001,42.421388888888885,400
2021-01-06,3526X,CORIA,CACERES,-4.1,-6.5575,40.00361111111111,313
2021-01-06,1387,A CORUÑA,A CORUÑA,2.3,-8.421388888888888,43.365833333333335,58
2021-01-06,9381I,CALAMOCHA,TERUEL,-8.6,-1.2933333333333332,40.92611111111111,890
2021-01-06,4121,CIUDAD REAL,CIUDAD REAL,-6.2,-3.9202777777777778,38.98916666666667,628
2021-01-06,8177A,CHINCHILLA,ALBACETE,-5.8,-1.66,38.93583333333333,880
2021-01-06,1183X,LLANES,ASTURIAS,2.7,-4.748055555555555,43.42027777777778,10
2021-01-06,8368U,TERUEL,TERUEL,-8.8,-1.1241666666666668,40.35055555555556,900
2021-01-06,8178D,ALBACETE,ALBACETE,-8,-1.8622222222222222,39.00555555555555,676
2021-01-06,8416Y,"VALÈNCIA, VIVEROS",VALENCIA,1.7,-0.3663888888888889,39.480555555555554,11
2021-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,2,-5.879166666666667,37.416666666666664,34
2021-01-06,6205X,TORROX,MALAGA,9.7,-3.957222222222222,36.72638888888889,3
2021-01-06,1400,FISTERRA,A CORUÑA,3.5,-9.29138888888889,42.92472222222222,230
